movieId,embedding
2.0,"[0.022184304893016815, -0.023138731718063354, 0.0570264533162117, 0.3978614807128906, 0.24215669929981232, -0.15754345059394836, -0.053759779781103134, -0.19731147587299347, 0.19224855303764343, 0.035137586295604706, 0.44567713141441345, -0.018261395394802094, 0.253892719745636, 0.0026884188409894705, 0.015458444133400917, 0.10078167915344238, 0.02652743272483349, 0.01856239326298237, -0.005523375701159239, 0.06765063852071762, -0.04606255516409874, -0.029602231457829475, -0.15183943510055542, -0.019567564129829407, 0.4750652313232422, -0.2575732171535492, 0.051754746586084366, -0.03933608531951904, 0.13767023384571075, -0.17186090350151062, 0.10649754852056503, -0.10929315537214279]"
3.0,"[-0.31283342838287354, -0.07043930888175964, 0.06181960552930832, 0.16868744790554047, -0.04208594188094139, 0.13176552951335907, 0.11854476481676102, -0.2266048789024353, 0.0301947221159935, 0.02050413005053997, 0.3323952555656433, 0.1685180366039276, -0.1685597151517868, -0.07832010090351105, 0.020604662597179413, -0.03783142566680908, -0.04702230170369148, 0.15220122039318085, -0.11684346944093704, 0.20760931074619293, 0.02684124931693077, 0.13085035979747772, 0.04764270409941673, -0.02054172195494175, 0.6035981178283691, 0.14151974022388458, 0.12310925126075745, -0.030208958312869072, -0.06005394458770752, 0.16178850829601288, 0.056826598942279816, -0.2600739300251007]"
5.0,"[-0.17306450009346008, -0.10183323919773102, 0.03305375576019287, 0.1741178333759308, 0.13375701010227203, 0.14718155562877655, 0.07239337265491486, -0.22668962180614471, 0.06922341883182526, 0.19309456646442413, 0.35478726029396057, -0.00748027628287673, -0.001259315642528236, 0.08610376715660095, 0.03009030781686306, 0.11283363401889801, -0.17539742588996887, 0.1177649199962616, -0.07408688962459564, 0.33273011445999146, -0.20777711272239685, 0.2044995278120041, -0.1572302132844925, -0.1502310335636139, 0.31913572549819946, -0.14963874220848083, 0.08393458276987076, -0.1932622641324997, 0.14626498520374298, -0.16952145099639893, 0.24962802231311798, -0.2623629868030548]"
6.0,"[0.04531494155526161, 0.08191582560539246, 0.05028361827135086, -0.13009755313396454, 0.214357390999794, 0.04387025535106659, -0.03457993268966675, -0.10915679484605789, 0.007833383977413177, 0.03351854905486107, 0.30908170342445374, -0.20943796634674072, 0.3812711834907532, 0.2992197275161743, 0.015201400965452194, -0.22844240069389343, 0.0808870941400528, 0.03494429960846901, -0.19244343042373657, 0.03956594690680504, -0.11480138450860977, 0.05655588582158089, -0.03260619565844536, 6.666967965429649e-05, 0.27411168813705444, 0.13716962933540344, -0.0791630893945694, -0.35987210273742676, 0.1271158903837204, -0.4020581841468811, -0.06870220601558685, -0.08269523829221725]"
11.0,"[-0.07225851714611053, 0.001719802152365446, 0.2780184745788574, 0.01134556159377098, 0.1985597014427185, 0.028048750013113022, -0.17042984068393707, 0.24022632837295532, -0.013792997226119041, 0.11479660868644714, 0.3708399832248688, 0.07581430673599243, 0.16872692108154297, 0.15685459971427917, -0.1249217614531517, -0.24065431952476501, 0.03160487860441208, 0.2968762516975403, 0.027080625295639038, -0.060355063527822495, -0.11713708937168121, 0.23581384122371674, -0.09792456030845642, -0.0481710247695446, 0.35709431767463684, 0.10910839587450027, -0.1000436320900917, -0.14486832916736603, -0.19591720402240753, -0.24975372850894928, 0.03023109771311283, 0.24558889865875244]"
12.0,"[-0.3405502140522003, 0.15876643359661102, -0.1297825276851654, 0.20433853566646576, 0.12854313850402832, -0.0841507762670517, 0.07890551537275314, 0.07321535795927048, -0.005847156047821045, 0.14862307906150818, 0.1583118587732315, 0.14427509903907776, 0.22223328053951263, -0.041717905551195145, 0.36057916283607483, 0.24614505469799042, -0.266863077878952, 0.002715252572670579, -0.10728080570697784, -0.041884470731019974, 0.3020336627960205, 0.042563050985336304, 0.055019352585077286, -0.0621153898537159, 0.4173736870288849, 0.025074085220694542, 0.02834707498550415, -0.17517367005348206, -0.013762225396931171, -0.05466253682971001, 0.18551471829414368, 0.16424328088760376]"
13.0,"[-0.0706758126616478, 0.23451490700244904, -0.145687535405159, -0.004779689945280552, 0.03977702558040619, 0.014704819768667221, 0.03659675270318985, -0.13807329535484314, -0.3003349304199219, -0.15095862746238708, 0.4355805218219757, 0.11515244096517563, -0.18332472443580627, 0.032483506947755814, 0.03854388743638992, -0.09850050508975983, 0.047399356961250305, 0.335365891456604, 0.01193193718791008, 0.1839170902967453, -0.12659059464931488, 0.09481427818536758, 0.10660021752119064, 0.15987789630889893, 0.42328116297721863, -0.06538168340921402, 0.09924265742301941, -0.11439317464828491, -0.018034841865301132, 0.0029301720205694437, 0.23231729865074158, -0.25183460116386414]"
14.0,"[0.062312789261341095, 0.11072994768619537, 0.07272755354642868, 0.27119308710098267, 0.05597337335348129, -0.12114113569259644, -0.07903899997472763, -0.060517922043800354, -0.02334386296570301, -0.13633540272712708, 0.44571271538734436, 0.06862668693065643, 0.0006951363757252693, -0.09947356581687927, -0.03223508596420288, -0.09813784062862396, 0.1469116061925888, 0.12192856520414352, -0.041538871824741364, -0.13049966096878052, 0.11358821392059326, -0.12298810482025146, 0.005027058068662882, 0.10532034188508987, 0.7005908489227295, 0.06975320726633072, 0.11930400878190994, 0.042313992977142334, -0.08626571297645569, 0.08048216253519058, -0.10757505893707275, 0.05173204466700554]"
15.0,"[-0.22560998797416687, 0.20582842826843262, 0.13112372159957886, 0.45719027519226074, -0.03303906321525574, 0.02452944777905941, -0.16867953538894653, -0.09351804852485657, 0.07257629930973053, 0.17351680994033813, 0.2142731100320816, 0.3230911195278168, -0.00704231159761548, -0.1784391552209854, 0.07936181128025055, 0.20714648067951202, 0.006036938168108463, 0.06948886066675186, -0.20464780926704407, -0.03431185707449913, 0.05816980078816414, 0.042072225362062454, -0.30547723174095154, 0.14157845079898834, 0.36379191279411316, -0.10005837678909302, -0.1944611817598343, -0.13056176900863647, -0.03256722539663315, 0.06757813692092896, 0.03379501402378082, -0.06653600931167603]"
16.0,"[0.18542107939720154, 0.04540190100669861, 0.0605296790599823, 0.1803869605064392, 0.09511403739452362, -0.004056732170283794, 0.006219604518264532, -0.01015008706599474, 0.1436918079853058, -0.17781835794448853, 0.3538109064102173, -0.018938099965453148, 0.15315459668636322, 0.21735329926013947, -0.14733760058879852, -0.15975677967071533, -0.062412600964307785, -0.03313326835632324, 0.02485213801264763, -0.10469129681587219, -0.10124194622039795, -0.22223670780658722, -0.1606794148683548, 0.059238847345113754, 0.47332724928855896, -0.0319431908428669, 0.16349825263023376, -0.32044336199760437, 0.15899573266506195, -0.34491175413131714, 0.020922712981700897, -0.13311439752578735]"
